CD8,CD4,CD4+CD8+,CD4-CD8-,NK,NKT,B,Des,PB,EPI,MES,DC,MO+MF,Neutrophils ,Eosinophils
58.25196094,29.22402753,0.102048984,0.980470626,1.646790459,0.456218985,6.405074436,0.026012486,1.638786618,0.090043221,0.248119097,0.134064351,0.496238194,0.236113334,0.064030735
34.89680299,29.53376174,0.836786579,2.176045483,2.80663824,0.186175005,2.528376674,0.134126079,3.967729666,5.831481593,4.664384521,0.798750826,8.676155586,1.675575041,1.287209977
17.36476277,37.6750277,0.564118062,3.235620026,1.909942581,0.586279843,11.74171452,0.701118163,6.360431147,4.583459253,2.88909036,1.55132467,7.115946409,0.614485746,3.106678755
35.03651095,18.12143643,0.428128439,1.118335501,2.194658398,1.070321096,0.636190857,0.010003001,2.290687206,18.95968791,8.784635391,0.77823347,9.10673202,0.66219866,0.802240672
33.32999359,38.74238538,1.719301058,2.404616864,3.757213851,1.805466496,6.231965374,0.39876563,4.664956717,0.224430907,1.482847066,0.458881052,4.075825585,0.250480923,0.452869509
27.36111946,33.4055051,0.166396023,2.860808725,1.629879112,0.054128827,4.841522824,0.068162226,16.22661935,0.491168982,2.45384014,0.457087869,9.518654397,0.032076342,0.433030613
24.37077962,30.52383876,1.280949458,1.125434827,1.215469613,0.063433599,9.49048496,0.345815429,8.164518109,0.570902394,8.205443012,1.418047882,10.82259055,0.14732965,2.254962144
26.58126501,27.9743795,0.926741393,2.556044836,1.455164131,0.308246597,7.133706966,0.326261009,3.654923939,9.585668535,2.099679744,4.157325861,11.19095276,0.488390713,1.561248999
21.55489757,26.90661012,0.396126761,0.654209347,0.962307939,0.728233035,0.690220871,0.018005762,2.138684379,12.41197183,18.34587068,1.060339309,10.98551536,0.302096671,2.844910371
11.74751841,19.94876721,0.162103746,0.90257765,1.296829971,0.248158822,3.238072366,0.034021774,1.815161703,20.24495677,10.01240794,3.039945565,26.3668748,0.158101185,0.784502081
23.75192743,28.44784428,0.468590424,0.987243927,2.621302842,0.394497066,7.066904299,0.196247272,2.867613193,5.923463564,1.82029357,2.383002583,22.29609308,0.164206901,0.61076957
18.70917325,37.91127319,0.382719513,2.787240011,1.4487236,0.294553761,15.51917605,1.064000321,5.157696469,1.925620166,0.725363684,2.182102352,10.81433094,0.38472328,0.69330341
22.05784675,42.85167965,1.239860717,1.022482539,1.439124046,0.251595113,8.451583036,0.648109011,11.15270817,0.986252843,1.386792263,1.014431496,6.404605197,0.680313186,0.412615985
11.7928031,16.82822566,0.146506914,0.565958215,1.200152528,0.060208321,0.170590242,0,3.281353483,12.2303169,2.697332771,3.859353363,14.60453168,1.362714994,31.19995183
14.44640848,23.28860678,0.321388398,1.456291178,2.303953077,0.606620601,4.881086293,0.170737586,17.26056564,10.21211634,2.430499759,1.530612245,13.54652097,0.697011088,6.847581552
6.877788225,31.76225819,0.234060856,1.058275152,0.350091024,0.162042131,1.440374497,0.030007802,4.161081881,24.04025047,4.279112569,5.657470942,13.11340949,0.398103507,6.435673275
9.451640673,22.75521031,0.25025526,1.34537228,1.341368196,0.078079641,8.877054596,0.138140904,9.101283309,26.29482072,1.563594867,0.840857675,15.07938097,0.516526857,2.366413742
8.862108542,22.56107559,0.131169044,1.819970487,0.877192982,0.122970979,2.893917036,0.065584522,6.099360551,33.25955075,1.303492376,1.377274963,14.75651746,2.40203312,3.467781604
17.98513459,49.27480916,0.901968662,1.976697469,1.235435918,0.719164323,11.26958618,0.548413017,7.689835275,2.177581358,1.43029329,1.341904379,3.009240659,0.030132583,0.409803134
30.78124374,42.56196692,0.52256437,2.332519121,1.383494174,1.321427141,7.137708725,0.190205422,2.875105114,5.44387939,0.520562207,0.927001161,3.716013294,0.098105954,0.18820326
16.44356404,42.29345499,0.448206175,2.243031795,1.508693999,0.246113212,1.634751986,0.076034976,5.62258639,10.62488745,1.718790644,6.05078336,10.17668127,0.428196971,0.484222742
9.556129497,27.29693475,0.180191002,2.290427854,0.630668509,0.176186758,5.724067512,0.122129457,3.193384988,16.56155525,0.35637776,1.795903658,17.87895169,11.80050854,2.436582778
19.5926052,36.63749074,0.604883129,1.313918321,0.474693052,0.186271957,6.323231919,0.266388928,6.992208625,3.637310473,1.982895027,4.238187754,16.53614277,0.799166784,0.414605324
