T,E,N
2.623294858,7.764952781,89.61175236
1.953601954,1.587301587,96.45909646
1.452282158,1.244813278,97.30290456
0.775945684,0.543161979,98.46750727
4.008438819,0.421940928,94.7257384
0.709219858,0.607902736,98.63221884
