CD1C,CD141,CD1C-CD141-
68.65671642,19.40298507,11.94029851
67.41854637,19.29824561,13.28320802
33.11688312,27.79220779,39.09090909
53.98457584,44.73007712,1.285347044
44.54148472,49.34497817,6.113537118
16.81415929,38.9380531,44.24778761
7.936507937,85.42568543,6.637806638
76.18129219,12.72902604,11.08968177
60.37735849,20.75471698,18.86792453
55.04284773,35.00329598,9.953856295
61.51260504,32.68907563,5.798319328
73.92102847,18.9164371,7.162534435
49.8015873,49.00793651,1.19047619
95.26288391,3.019260802,1.717855284
55.97897503,28.77792378,15.24310118
85.86109142,7.973068746,6.16583983
49.75728155,22.57281553,27.66990291
63.69047619,21.42857143,14.88095238
64.52095808,19.31137725,16.16766467
57.88336933,32.82937365,9.287257019
72.08071452,18.19384717,9.725438306
66.44295302,15.10067114,18.45637584
82.03309693,12.29314421,5.673758865
56.83453237,41.00719424,2.158273381
29.98868352,67.93662769,2.074688797
12.75061951,86.46091462,0.788465871
38.43187661,41.32390746,20.24421594
33.70786517,50.6741573,15.61797753
4.064381658,91.16489115,4.770727189
1.94150529,96.43641445,1.622080256
5.438282648,93.14490161,1.416815742
3.470507545,95.92592593,0.603566529
16.54929577,62.9527163,20.49798793
1.269790881,54.72005079,44.01015833
4.23042836,91.39734121,4.372230428
