T,E,N
7.482208117,85.48759377,6.837853433
3.557312253,4.04040404,91.83135705
5.765870705,15.37565521,73.26732673
26.26865672,2.189054726,62.43781095
18.76177658,2.341857335,18.57335128
10.21359223,2.640776699,85.70873786
