CD69-ITGAE-,CD69+ITGAE-,CD69+ITGAE+
88112.53671,1524192.302,1562838.151
62866.72255,776753.283,1096675.049
22483.5697,671048.0802,643375.9945
234880.7102,1363047.901,659330.4975
93944.21159,1046393.988,526087.5849
38728.3237,517919.0751,154913.2948
