CD38+ENTPD1+,CD38+ENTPD1-,CD38-ENTPD1-
41.37447405,45.02103787,13.60448808
23.07692308,40.10989011,36.81318681
13.80597015,54.10447761,32.08955224
61.32542038,26.11275964,12.56181998
61.14649682,23.56687898,15.2866242
53.49462366,34.13978495,12.3655914
