Epi_AGER,Epi_AREG,Epi_ASCL1,Epi_KRT17,Epi_MUC5B,Epi_STMN1,Epi_TPPP3,Epi_Unidentified
0.447928331,25.41993281,10.97424412,0.559910414,0.223964166,41.88129899,0.78387458,19.70884658
0.147167035,74.0250184,0.073583517,0.147167035,0.073583517,13.02428256,0.147167035,12.36203091
0.091743119,58.71559633,0,1.009174312,0.825688073,21.00917431,1.19266055,17.1559633
2.192982456,68.42105263,0,0,0,7.01754386,0.438596491,21.92982456
2.631578947,79.54545455,0,1.315789474,1.315789474,1.076555024,2.392344498,11.72248804
2.433747972,54.62412115,0,0.973499189,3.028664143,1.730665224,20.82206598,16.38723634
