B,DC,Endothelial cells,Tumor/ Epithelial cells ,Stromal,MAST,Monocytes/Macrophage,NK ,NKT,Plasma cells,T
9.506195672,2.07138894,0.295912706,2.126872573,5.326428704,0.120214537,8.322544849,0.647309044,0.712039948,9.617162937,61.25393009
4.821843532,2.614252517,1.607281177,16.18900077,3.814872192,0.774593338,11.44461658,1.781564679,1.878388846,1.859024012,53.21456235
0.271692005,36.63217527,2.318053067,10.70004046,2.531938262,2.75738482,19.03000173,0.497138563,0.572287415,0.30059541,24.38869299
5.940594059,3.944680182,1.618733302,14.03426057,2.467389596,0.99009901,8.26654094,2.231651737,1.241552727,5.029074336,54.23542354
1.592623638,2.263202012,0.754400671,19.25118748,19.50265437,0.447052249,11.83291422,0.782341436,1.215423303,1.005867561,41.35233305
1.81598063,6.070563819,1.608439986,18.86890349,12.86751989,0.81286752,19.97578692,1.487374611,1.020408163,1.037703217,34.43445175
