CD8,CD4,CD4+CD8+,CD4-CD8-,NK,NKT,B,Des,PB,EPI,MES,DC,MO+MF,Neutrophils ,Eosinophils
9.549527924,10.79172668,0.038006081,2.418386942,5.010801728,0.088014082,0.554088654,0.00400064,1.472235558,12.11393823,3.020483277,40.07841255,6.441030565,1.476236198,6.943110898
7.026843221,12.66351962,0.124014882,5.684682162,8.373004761,0.860103212,0.384046086,0.00600072,5.178621435,9.02308277,11.84142097,27.96535584,4.414529744,0.490058807,5.964715766
6.32032032,10.06406406,0.042042042,8.722722723,8.148148148,0.48048048,0.724724725,0.01001001,1.561561562,4.418418418,1.631631632,43.78378378,4.592592593,1.593593594,7.905905906
20.4408938,24.52146404,0.132148006,1.653852315,5.870575044,0.344385712,2.016258209,0.006006728,6.319077367,5.794489829,3.183565593,7.964920711,9.238346949,0.945058465,11.56895723
6.326628736,8.456206427,0.074124529,0.923551567,3.221411972,0.360605818,0.410689959,0,5.192723776,7.452520234,5.601410369,50.55693565,6.010096963,0.458770735,4.954323263
10.85002902,11.82274883,0.050037027,1.583171547,4.805556112,2.950183136,0.23817625,0.008005924,1.310970118,9.71518924,5.872345536,33.89308088,8.009927346,0.454336209,8.43624282
